,distance_miles,hour,year,weekday,night,late_night,jfk,ewr,lgr,Suffolk,Rockland,Dutchess,Orange,Putnam,airport,county1,county2
13401,13.404052578664206,16,2014,1,1,0,1,0,0,0,0,0,0,0,1,1,0
8290,10.518216076907729,16,2012,6,0,0,0,0,0,0,0,0,0,0,0,1,0
8347,9.18699175454802,7,2013,4,0,0,1,0,0,0,0,0,0,0,1,1,0
12155,6.034918653294161,1,2014,4,0,1,0,0,1,0,0,0,0,0,1,1,0
12262,0.544662154988222,12,2010,6,0,0,0,0,0,0,0,0,0,0,0,1,0
1401,4.635287748359315,23,2013,2,0,1,0,0,1,0,0,0,0,0,1,1,0
890,3.6135858392819453,3,2010,4,0,1,0,0,0,0,0,0,0,0,0,1,0
4128,12.910210428815894,16,2015,6,0,0,1,0,0,0,0,0,0,0,1,1,0
6261,5.555077885861287,19,2009,2,1,0,0,0,1,0,0,0,0,0,1,1,0
12704,5.955963547079376,23,2011,3,0,1,0,0,1,0,0,0,0,0,1,1,0
12398,12.475558491887762,17,2010,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12675,6.880223590709023,23,2009,6,0,1,0,0,0,0,0,0,0,0,0,1,0
9908,1.4205307844072272,7,2014,6,0,0,0,0,0,0,0,0,0,0,0,1,0
8287,4.9070690477274574,21,2012,0,0,1,0,0,1,0,0,0,0,0,1,1,0
7730,7.814950313907723,6,2011,6,0,1,1,0,0,0,0,0,0,0,1,1,0
6258,9.448278978885172,3,2009,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7005,6.483516036339025,6,2009,5,0,1,0,0,1,0,0,0,0,0,1,1,0
6677,16.384981823532318,23,2010,6,0,1,1,0,0,0,0,0,0,0,1,1,0
4517,6.142636319144584,14,2009,3,0,0,0,0,1,0,0,0,0,0,1,1,0
554,5.954649989052387,15,2013,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2502,5.796045337844002,13,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
2694,12.365477115002946,16,2012,4,1,0,1,0,0,0,0,0,0,0,1,1,0
3365,5.629981091495837,23,2015,0,0,1,0,0,1,0,0,0,0,0,1,1,0
6070,2.3309634978747065,3,2015,3,0,1,0,0,0,0,0,0,0,0,0,1,0
10555,12.708988430799154,15,2014,2,0,0,1,0,0,0,0,0,0,0,1,1,0
1533,2.021387962498882,13,2012,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11814,7.011988391457113,4,2012,6,0,1,0,0,0,0,0,0,0,0,0,1,0
3397,7.632600108208989,11,2009,5,0,0,0,0,1,0,0,0,0,0,1,1,0
13740,8.525796144868059,7,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7152,11.666163119172667,6,2010,2,0,1,0,1,0,0,0,0,0,0,1,0,0
8021,5.381580389851532,18,2013,6,0,0,0,0,1,0,0,0,0,0,1,1,0
10260,9.839949778241937,14,2011,4,0,0,1,0,1,0,0,0,0,0,1,1,0
7972,6.592667002569998,22,2013,6,0,1,0,0,1,0,0,0,0,0,1,1,0
7910,6.074749409981684,8,2011,0,0,0,0,0,1,0,0,0,0,0,1,1,0
7463,5.730834775208758,13,2011,5,0,0,0,0,1,0,0,0,0,0,1,1,0
8345,10.115617181057926,0,2015,6,0,1,0,0,0,0,0,0,0,0,0,1,0
1048,3.4809137059535504,23,2011,0,0,1,0,0,1,0,0,0,0,0,1,1,0
6178,6.46016330726639,10,2010,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2588,3.2537781818263705,18,2009,2,1,0,0,0,0,0,0,0,0,0,0,1,0
7115,2.916881257135374,1,2010,1,0,1,0,0,0,0,0,0,0,0,0,1,0
809,11.910453559487145,15,2011,5,0,0,1,0,0,0,0,0,0,0,1,1,0
10292,12.757864345427745,21,2014,2,0,1,1,0,0,0,0,0,0,0,1,1,0
4514,6.3908097408790026,8,2015,0,0,0,0,0,1,0,0,0,0,0,1,1,0
4752,12.500396003572199,13,2012,4,0,0,1,0,0,0,0,0,0,0,1,1,0
5807,12.42570823969559,20,2010,4,1,1,1,0,0,0,0,0,0,0,1,1,0
10489,13.075859013905582,13,2012,6,0,0,1,0,0,0,0,0,0,0,1,1,0
8166,10.186285746211734,3,2009,3,0,1,0,0,0,0,0,0,0,0,0,1,0
4931,8.02534059780782,19,2009,3,1,0,0,0,0,0,0,0,0,0,0,1,0
11910,6.0156309499280445,15,2015,2,0,0,0,0,1,0,0,0,0,0,1,1,0
8562,5.881465949783667,14,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
8471,5.493745719524228,19,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
832,5.790406438713503,13,2009,5,0,0,0,0,1,0,0,0,0,0,1,1,0
5196,10.181925733109788,1,2012,6,0,1,0,0,0,0,0,0,0,0,0,1,0
7988,13.307143397960605,4,2015,4,0,1,1,0,0,0,0,0,0,0,1,1,0
11544,11.957770760231526,5,2014,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1387,5.609152493675245,18,2009,2,1,0,0,0,1,0,0,0,0,0,1,1,0
4503,6.409006362038713,12,2009,5,0,0,0,0,1,0,0,0,0,0,1,1,0
6751,6.0867129644170825,7,2013,3,0,0,1,0,0,0,0,0,0,0,1,1,0
10975,8.198745731006545,11,2013,3,0,0,0,0,1,0,0,0,0,0,1,1,0
6247,7.626175298413062,0,2012,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2645,5.796096299191738,16,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
12437,9.814230290563216,16,2013,4,1,0,0,1,0,0,0,0,0,0,1,0,0
4736,6.211936559941916,3,2013,6,0,1,0,0,0,0,0,0,0,0,0,1,0
5004,2.836103382147748,10,2011,5,0,0,0,0,0,0,0,0,0,0,0,1,0
10670,6.054782240290845,16,2009,4,1,0,0,0,1,0,0,0,0,0,1,1,0
459,6.492198075773429,11,2014,6,0,0,0,0,1,0,0,0,0,0,1,1,0
1151,6.267776073694756,14,2015,1,0,0,0,0,1,0,0,0,0,0,1,1,0
2013,11.177720290954852,15,2012,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1035,1.7769990856013924,2,2013,1,0,1,0,0,0,0,0,0,0,0,0,1,0
475,5.134492521300945,11,2014,6,0,0,0,0,1,0,0,0,0,0,1,1,0
9182,3.8879597296279056,0,2012,5,0,1,0,0,0,0,0,0,0,0,0,1,0
14328,5.413274638967447,17,2010,1,1,0,0,0,1,0,0,0,0,0,1,1,0
3187,10.171748503857627,0,2013,4,0,1,1,0,0,0,0,0,0,0,1,1,0
10386,12.933910333831525,6,2010,6,0,1,1,0,0,0,0,0,0,0,1,1,0
13102,13.200563185927448,13,2013,3,0,0,1,0,0,0,0,0,0,0,1,1,0
7554,6.969109609427083,18,2013,2,1,0,0,0,0,0,0,0,0,0,0,1,0
4176,6.449071797154166,18,2010,4,1,0,0,0,1,0,0,0,0,0,1,1,0
3022,3.751642109127226,7,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
6299,5.694128755507388,18,2011,3,1,0,0,0,1,0,0,0,0,0,1,1,0
13614,6.782190179302843,2,2010,3,0,1,1,0,0,0,0,0,0,0,1,1,0
7619,6.079379251341613,11,2011,2,0,0,0,0,1,0,0,0,0,0,1,1,0
2999,12.564414086831677,7,2012,1,0,0,1,0,0,0,0,0,0,0,1,1,0
4383,3.648619883664381,16,2015,4,1,0,0,0,1,0,0,0,0,0,1,1,0
6154,6.7562261910642505,14,2012,2,0,0,0,0,1,0,0,0,0,0,1,1,0
14505,6.910561512740957,2,2010,6,0,1,0,0,1,0,0,0,0,0,1,1,0
2392,12.821195318622303,7,2011,4,0,0,1,0,0,0,0,0,0,0,1,1,0
134,8.285118091236559,1,2012,6,0,1,0,0,0,0,0,0,0,0,0,1,0
7383,11.976967943102446,23,2011,6,0,1,1,0,0,0,0,0,0,0,1,1,0
5965,1.9905483897418506,0,2012,2,0,1,1,0,0,0,0,0,0,0,1,1,0
9260,3.9155113473509657,15,2015,5,0,0,0,0,1,0,0,0,0,0,1,1,0
11740,5.753196975998838,22,2014,5,0,1,0,0,0,0,0,0,0,0,0,1,0
11557,3.5929637587206162,15,2013,0,0,0,1,0,0,0,0,0,0,0,1,1,0
11169,5.845374586615381,7,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
6650,6.9672515264556525,13,2015,0,0,0,0,0,1,0,0,0,0,0,1,1,0
14635,4.477264929660119,6,2012,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12007,12.24803709876126,19,2014,4,1,0,1,0,0,0,0,0,0,0,1,1,0
13017,12.537694300367415,4,2010,6,0,1,1,0,0,0,0,0,0,0,1,1,0
9502,0.20250938015263736,23,2013,4,0,1,1,0,0,0,0,0,0,0,1,1,0
12104,13.516325249756155,21,2014,2,0,1,1,0,0,0,0,0,0,0,1,1,0
8882,6.23541142501982,21,2009,2,0,1,0,0,0,0,0,0,0,0,0,1,0
8537,9.24033486956452,14,2012,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1796,12.265918064955832,16,2012,3,1,0,1,0,0,0,0,0,0,0,1,1,0
6240,6.86519442149152,17,2009,2,1,0,0,0,1,0,0,0,0,0,1,1,0
9842,5.959917298476577,11,2015,3,0,0,0,0,1,0,0,0,0,0,1,1,0
3968,0.17829498695480875,13,2010,2,0,0,0,0,1,0,0,0,0,0,1,1,0
6489,12.498278491691398,14,2009,4,0,0,1,0,0,0,0,0,0,0,1,1,0
166,8.727416619493038,18,2013,6,0,0,0,0,1,0,0,0,0,0,1,1,0
8093,12.307166864547849,20,2012,0,1,1,1,0,0,0,0,0,0,0,1,1,0
11965,6.887560304134336,9,2012,4,0,0,0,0,1,0,0,0,0,0,1,1,0
6063,7.220611780238029,18,2014,2,1,0,0,0,1,0,0,0,0,0,1,1,0
10006,8.926823934982366,23,2015,4,0,1,0,0,0,0,0,0,0,0,0,1,0
10201,5.915688345722742,20,2013,2,1,1,0,0,0,0,0,0,0,0,0,1,0
10118,7.563116476358265,8,2011,1,0,0,0,0,1,0,0,0,0,0,1,1,0
6699,6.0971082616703995,13,2012,3,0,0,1,0,0,0,0,0,0,0,1,1,0
10849,5.596066599421917,7,2014,6,0,0,0,0,1,0,0,0,0,0,1,1,0
14340,10.202420873873116,16,2011,1,1,0,0,0,0,0,0,0,0,0,0,1,0
10682,1.839945984429026,2,2012,6,0,1,0,0,1,0,0,0,0,0,1,1,0
1207,4.924773721522336,20,2013,3,1,1,0,0,1,0,0,0,0,0,1,1,0
1431,11.879207537832288,11,2012,6,0,0,1,0,0,0,0,0,0,0,1,1,0
4299,14.396366794279372,9,2014,1,0,0,1,0,0,0,0,0,0,0,1,1,0
10839,6.047246210931426,12,2013,6,0,0,0,0,1,0,0,0,0,0,1,1,0
14755,5.924047398838756,18,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
11148,4.7744986467463395,1,2013,5,0,1,0,0,0,0,0,0,0,0,0,1,0
9433,5.192236747042562,12,2010,1,0,0,0,0,1,0,0,0,0,0,1,1,0
10577,4.968823498613362,2,2014,4,0,1,0,0,0,0,0,0,0,0,0,1,0
4335,12.93161308924494,17,2012,6,0,0,1,0,0,0,0,0,0,0,1,1,0
4398,2.9617148576934587,0,2014,0,0,1,0,0,1,0,0,0,0,0,1,1,0
13461,5.1219150582191215,14,2013,0,0,0,0,0,1,0,0,0,0,0,1,1,0
3619,12.95503136920338,16,2010,2,1,0,1,0,0,0,0,0,0,0,1,1,0
7471,13.169034723336214,18,2011,5,0,0,1,0,0,0,0,0,0,0,1,1,0
7984,5.002725042872241,2,2012,5,0,1,0,0,0,0,0,0,0,0,0,1,0
3543,5.292447024479812,15,2009,6,0,0,0,0,0,0,0,0,0,0,0,1,0
1036,2.824001236132576,22,2014,5,0,1,0,0,0,0,0,0,0,0,0,1,0
13398,6.191637229321878,11,2009,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1849,11.916344458436228,19,2011,6,0,0,1,0,0,0,0,0,0,0,1,1,0
12031,12.85674528219403,20,2010,4,1,1,1,0,0,0,0,0,0,0,1,1,0
9531,0.6790793149915495,20,2011,5,0,1,0,0,0,0,0,0,0,0,0,1,0
4093,13.428941053519392,6,2014,5,0,1,1,0,0,0,0,0,0,0,1,1,0
9826,8.882058555601153,1,2014,3,0,1,0,0,0,0,0,0,0,0,0,1,0
2172,13.3975260093178,11,2013,1,0,0,1,0,0,0,0,0,0,0,1,1,0
3157,5.8576100661999195,16,2012,3,1,0,0,0,1,0,0,0,0,0,1,1,0
14927,4.487483533092814,20,2011,4,1,1,0,0,1,0,0,0,0,0,1,1,0
2388,5.440546803722287,15,2009,6,0,0,0,0,1,0,0,0,0,0,1,1,0
2525,9.901386134633803,16,2010,4,1,0,1,0,0,0,0,0,0,0,1,1,0
5295,12.151579126786356,8,2013,3,0,0,1,0,0,0,0,0,0,0,1,1,0
6507,6.193368842051837,21,2010,1,0,1,0,0,1,0,0,0,0,0,1,1,0
10741,7.925621542220371,18,2014,5,0,0,0,0,0,0,0,0,0,0,0,1,0
6244,6.807403023079317,11,2012,4,0,0,0,0,1,0,0,0,0,0,1,1,0
8226,9.347987330412089,1,2011,5,0,1,0,0,0,0,0,0,0,0,0,1,0
5709,7.341285350414043,13,2011,6,0,0,0,0,1,0,0,0,0,0,1,1,0
12750,13.446343789826342,12,2013,2,0,0,1,0,0,0,0,0,0,0,1,1,0
3325,12.446396464256827,18,2009,3,1,0,1,0,0,0,0,0,0,0,1,1,0
256,9.307462378886171,23,2010,5,0,1,0,0,0,0,0,0,0,0,0,1,0
8996,4.0445054766289905,16,2012,3,1,0,1,0,0,0,0,0,0,0,1,1,0
10018,3.441895161021717,19,2011,1,1,0,0,0,1,0,0,0,0,0,1,1,0
8173,13.264877321610454,16,2013,5,0,0,1,0,0,0,0,0,0,0,1,1,0
7264,8.101522219195576,7,2012,3,0,0,0,0,1,0,0,0,0,0,1,1,0
2759,5.381115587544712,3,2014,6,0,1,0,0,0,0,0,0,0,0,0,1,0
10013,3.4453207959364978,13,2011,5,0,0,0,0,1,0,0,0,0,0,1,1,0
4459,3.4942657627361107,16,2011,1,1,0,0,0,1,0,0,0,0,0,1,1,0
11321,3.758708126533027,21,2010,4,0,1,0,0,1,0,0,0,0,0,1,1,0
13968,5.161499388974032,16,2014,1,1,0,0,0,1,0,0,0,0,0,1,1,0
6978,10.103905220498492,23,2010,0,0,1,1,0,0,0,0,0,0,0,1,1,0
5623,4.914728821299907,2,2014,3,0,1,0,0,0,0,0,0,0,0,0,1,0
4329,13.133583656161578,21,2009,2,0,1,1,0,0,0,0,0,0,0,1,1,0
7342,6.081089370138347,12,2013,5,0,0,0,0,1,0,0,0,0,0,1,1,0
2323,13.146111675633476,15,2013,5,0,0,1,0,0,0,0,0,0,0,1,1,0
13317,4.000717510109445,6,2012,4,0,1,0,0,1,0,0,0,0,0,1,1,0
14390,6.0225695753007304,8,2010,2,0,0,0,0,1,0,0,0,0,0,1,1,0
12767,2.14947914464609,21,2010,5,0,1,0,0,0,0,0,0,0,0,0,1,0
14200,3.7642681507409277,12,2011,0,0,0,0,0,1,0,0,0,0,0,1,1,0
8943,7.208998836751588,4,2014,4,0,1,0,0,1,0,0,0,0,0,1,1,0
4137,3.9257326266260444,1,2015,6,0,1,0,0,0,0,0,0,0,0,0,1,0
4531,6.523026746157822,10,2013,2,0,0,0,0,1,0,0,0,0,0,1,1,0
4477,12.203018356061738,17,2012,1,1,0,1,0,0,0,0,0,0,0,1,1,0
5119,5.76433486476666,13,2010,2,0,0,0,0,1,0,0,0,0,0,1,1,0
4708,4.750757758116459,12,2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14523,13.263961100403305,15,2010,4,0,0,1,0,0,0,0,0,0,0,1,1,0
801,8.738036818250599,20,2010,1,1,1,0,0,0,0,0,0,0,0,0,1,0
204,11.175159432736931,16,2011,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4534,4.602777671098016,14,2010,4,0,0,0,0,1,0,0,0,0,0,1,1,0
4323,3.552372584818788,18,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
5592,7.088844289300929,16,2011,0,1,0,0,0,1,0,0,0,0,0,1,1,0
9705,5.771206849887545,2,2010,5,0,1,0,0,0,0,0,0,0,0,0,1,0
7606,7.8570722344024695,23,2010,5,0,1,0,0,0,0,0,0,0,0,0,1,0
8090,6.64047751496561,16,2010,4,1,0,0,0,0,0,0,0,0,0,0,1,0
1272,2.7692398993876672,0,2013,1,0,1,0,0,1,0,0,0,0,0,1,1,0
4960,5.430655390558618,21,2014,6,0,1,0,0,1,0,0,0,0,0,1,1,0
12772,6.169417447156103,22,2013,1,0,1,0,0,1,0,0,0,0,0,1,1,0
6251,2.963173505460461,0,2013,5,0,1,0,0,0,0,0,0,0,0,0,1,0
86,3.183965161680305,8,2011,2,0,0,0,0,0,0,0,0,0,0,0,1,0
14090,11.516587037621136,7,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14314,5.5339643369534945,5,2012,0,0,1,0,0,1,0,0,0,0,0,1,1,0
12044,8.912447950396208,18,2011,1,1,0,0,0,1,0,0,0,0,0,1,1,0
12073,9.384305591072062,12,2014,1,0,0,1,0,1,0,0,0,0,0,1,1,0
9991,8.76651405086718,20,2015,2,1,1,0,0,0,0,0,0,0,0,0,1,0
2938,8.44544097199411,3,2014,5,0,1,0,0,0,0,0,0,0,0,0,1,0
13047,4.181315783220568,1,2012,6,0,1,0,0,0,0,0,0,0,0,0,1,0
1014,4.236046073496739,11,2013,3,0,0,0,0,1,0,0,0,0,0,1,1,0
5566,6.117809785180633,16,2014,2,1,0,0,0,1,0,0,0,0,0,1,1,0
6163,5.407795416391957,15,2014,1,0,0,0,0,1,0,0,0,0,0,1,1,0
56,5.98651036906882,18,2010,0,1,0,0,0,1,0,0,0,0,0,1,1,0
13598,14.314764283621004,5,2013,3,0,1,1,0,0,0,0,0,0,0,1,1,0
3302,5.981916983088298,23,2014,4,0,1,0,0,1,0,0,0,0,0,1,1,0
7716,11.44688439598878,14,2010,0,0,0,0,1,0,0,0,0,0,0,1,0,0
12047,12.760667743321317,14,2011,3,0,0,1,0,0,0,0,0,0,0,1,1,0
11686,12.757689074959886,15,2009,0,0,0,1,0,0,0,0,0,0,0,1,1,0
6712,6.07403123867332,0,2010,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4446,3.533235445726167,3,2010,6,0,1,0,0,0,0,0,0,0,0,0,1,0
14603,8.628188940561675,16,2009,3,1,0,0,0,1,0,0,0,0,0,1,1,0
1018,4.35158640608614,15,2014,6,0,0,0,0,0,0,0,0,0,0,0,1,0
1619,12.46382507079057,6,2009,6,0,1,1,0,0,0,0,0,0,0,1,1,0
13436,4.812389675508224,11,2015,3,0,0,0,0,1,0,0,0,0,0,1,1,0
13485,5.6750390952373255,1,2014,3,0,1,0,0,1,0,0,0,0,0,1,1,0
13622,9.53544195561912,22,2015,1,0,1,0,0,1,0,0,0,0,0,1,1,0
123,6.038263719953991,19,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
13920,7.47836413334772,22,2012,5,0,1,0,0,1,0,0,0,0,0,1,1,0
10222,10.745651607168123,23,2011,3,0,1,1,0,0,0,0,0,0,0,1,1,0
10184,13.123822473989396,23,2015,2,0,1,1,0,0,0,0,0,0,0,1,1,0
13089,12.539934712623985,15,2015,2,0,0,1,0,0,0,0,0,0,0,1,1,0
11678,6.74680449100957,8,2009,1,0,0,0,0,1,0,0,0,0,0,1,1,0
178,2.8468087761623426,4,2013,4,0,1,0,0,0,0,0,0,0,0,0,1,0
8396,4.590994642758684,23,2011,4,0,1,0,0,1,0,0,0,0,0,1,1,0
11604,3.671355497437835,1,2011,5,0,1,0,0,0,0,0,0,0,0,0,1,0
3630,6.193329749465786,23,2014,4,0,1,0,0,1,0,0,0,0,0,1,1,0
9028,5.7646314376562175,12,2014,0,0,0,0,0,1,0,0,0,0,0,1,1,0
758,8.154205236071398,22,2009,4,0,1,0,0,0,0,0,0,0,0,0,1,0
5663,62.817284567287786,7,2009,2,0,0,0,0,0,1,0,0,0,0,0,0,1
14334,5.256896486898364,20,2015,0,1,1,0,0,0,0,0,0,0,0,0,1,0
736,5.821565270561395,15,2012,4,0,0,0,0,1,0,0,0,0,0,1,1,0
5761,0.861786403241981,11,2013,5,0,0,0,0,0,0,0,0,0,0,0,1,0
5543,7.839296795560572,10,2014,3,0,0,0,0,1,0,0,0,0,0,1,1,0
1137,6.081956643012703,6,2013,3,0,1,0,0,1,0,0,0,0,0,1,1,0
14902,6.254107436201005,13,2010,2,0,0,0,0,1,0,0,0,0,0,1,1,0
5180,4.085814039540327,7,2013,4,0,0,0,0,1,0,0,0,0,0,1,1,0
1684,61.995185816654825,19,2009,5,0,0,0,0,0,1,0,0,0,0,0,0,1
12299,7.7406038617402695,17,2015,3,1,0,0,0,1,0,0,0,0,0,1,1,0
5958,6.035485890712525,16,2009,6,0,0,0,0,1,0,0,0,0,0,1,1,0
12490,7.448428450288028,14,2013,1,0,0,0,0,1,0,0,0,0,0,1,1,0
6211,8.822574618041198,7,2012,5,0,0,0,1,0,0,0,0,0,0,1,0,0
1979,12.257705591086538,21,2014,0,0,1,1,0,0,0,0,0,0,0,1,1,0
10539,5.030308716952866,7,2011,3,0,0,0,0,1,0,0,0,0,0,1,1,0
11788,10.976431516015825,0,2011,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1832,1.2940582833577166,23,2015,6,0,1,0,0,0,0,0,0,0,0,0,1,0
12064,5.505459060576,7,2014,5,0,0,0,0,1,0,0,0,0,0,1,1,0
2270,6.163853055082603,21,2013,1,0,1,0,0,1,0,0,0,0,0,1,1,0
13574,2.94945320411,2,2010,6,0,1,0,0,0,0,0,0,0,0,0,1,0
5113,6.424810991278315,23,2014,3,0,1,0,0,0,0,0,0,0,0,0,1,0
13360,5.653409608940568,22,2012,4,0,1,0,0,0,0,0,0,0,0,0,1,0
3075,60.88511169003755,10,2009,1,0,0,0,0,0,1,0,0,0,0,0,0,1
10522,1.8133204485036276,21,2014,6,0,1,0,0,0,0,0,0,0,0,0,1,0
2344,8.333900542035966,2,2015,5,0,1,0,0,0,0,0,0,0,0,0,1,0
13024,6.930307672576197,6,2011,6,0,1,0,0,0,0,0,0,0,0,0,1,0
8529,6.418317287865996,18,2009,3,1,0,0,0,1,0,0,0,0,0,1,1,0
6971,13.387760920309335,8,2014,5,0,0,0,0,0,0,0,0,0,0,0,1,0
14718,4.84869207615877,16,2013,2,1,0,0,0,1,0,0,0,0,0,1,1,0
12356,4.2544326629604745,3,2011,6,0,1,0,0,0,0,0,0,0,0,0,1,0
8583,11.385370407621322,16,2015,4,1,0,0,0,0,0,0,0,0,0,0,1,0
4099,5.843400448124966,10,2009,5,0,0,0,0,1,0,0,0,0,0,1,1,0
11248,3.8759795214626545,12,2014,0,0,0,0,0,1,0,0,0,0,0,1,1,0
7029,2.7836585846641175,7,2011,0,0,0,0,0,1,0,0,0,0,0,1,1,0
